ClassID,Packet,Delay (ms)
0,1,0.029
0,2,0.029
0,2,2.891
0,1,2.891
0,3,2.891
0,2,6.199
1,4,0.0
0,3,6.199
0,3,7.05
1,5,0.061
2,4,0.0
3,4,0.0
1,6,0.067
2,5,0.073
1,7,0.248
3,5,0.067
2,6,0.86
3,6,0.432
1,8,1.565
2,7,2.13
1,9,0.601
3,7,0.40900000000000003
2,8,1.97
1,10,1.796
3,8,0.377
2,9,2.338
3,9,1.422
1,11,2.82
2,10,2.657
1,12,2.257
3,10,2.23
2,11,3.0580000000000003
3,11,2.412
1,13,3.041
2,12,3.203
1,14,3.246
3,12,3.434
2,13,3.6390000000000002
1,15,3.513
3,13,2.076
2,14,3.6950000000000003
1,16,3.931
2,15,3.748
3,14,3.263
2,16,3.6910000000000003
1,17,2.704
3,15,1.618
1,18,2.609
2,17,4.797
3,16,1.663
1,19,3.2
2,18,2.335
3,17,0.039
1,20,1.6560000000000001
2,19,2.943
3,18,0.541
1,21,2.111
3,19,1.372
2,20,2.633
1,22,2.0420000000000003
3,20,1.497
2,21,2.323
1,23,2.184
3,21,1.697
2,22,2.658
1,24,2.628
2,23,3.5060000000000002
3,22,2.1670000000000003
1,25,2.2600000000000002
2,24,3.6790000000000003
3,23,1.213
1,26,2.166
2,25,3.361
3,24,1.198
1,27,2.568
2,26,3.616
3,25,1.85
1,28,3.0460000000000003
2,27,3.935
3,26,2.12
1,29,3.672
3,27,2.943
2,28,4.115
1,30,4.091
3,28,3.216
2,29,4.099
3,29,3.087
1,31,3.9490000000000003
2,30,4.0760000000000005
3,30,4.766
1,32,4.3180000000000005
2,31,4.295
3,31,2.978
1,33,2.702
2,32,3.318
3,32,2.991
1,34,3.0180000000000002
2,33,3.894
3,33,3.989
1,35,3.822
2,34,4.03
3,34,3.1630000000000003
2,35,3.521
1,36,2.934
3,35,3.391
2,36,4.056
1,37,2.82
3,36,3.17
2,37,4.056
1,38,2.8080000000000003
3,37,3.853
1,39,3.162
2,38,4.47
2,39,58.865
3,38,59.387
1,40,59.287
2,40,0.062
3,39,0.012
1,41,0.057
1,42,0.531
3,40,0.10300000000000001
2,41,0.34400000000000003
3,41,0.079
1,43,1.679
2,42,0.063
3,42,0.927
1,44,1.553
2,43,0.113
3,43,0.968
1,45,1.818
2,44,0.027
1,46,1.907
3,44,1.231
2,45,0.34
1,47,2.58
3,45,0.987
2,46,0.27
1,48,2.525
3,46,0.9530000000000001
2,47,0.058
3,47,1.218
1,49,2.6790000000000003
2,48,0.076
3,48,1.55
1,50,2.602
2,49,1.151
3,49,2.185
1,51,2.926
2,50,1.347
3,50,2.564
1,52,3.539
2,51,1.357
3,51,2.359
1,53,3.2680000000000002
2,52,0.706
3,52,3.178
1,54,3.125
2,53,0.982
1,55,56.169000000000004
3,53,57.444
2,54,0.076
1,56,0.122
3,54,0.032
2,55,0.843
1,57,1.125
3,55,0.068
2,56,0.542
1,58,0.758
3,56,0.166
2,57,1.359
1,59,1.408
3,57,0.846
2,58,1.331
1,60,2.428
3,58,1.555
2,59,2.116
3,59,1.548
1,61,2.212
2,60,0.783
3,60,0.973
1,62,0.502
3,61,0.065
2,61,0.11900000000000001
1,63,0.058
3,62,1.124
2,62,0.101
1,64,0.794
3,63,1.281
2,63,0.46
1,65,1.186
3,64,1.49
2,64,0.28800000000000003
1,66,0.849
3,65,1.687
1,67,1.283
2,65,0.393
3,66,1.607
1,68,2.341
2,66,1.06
3,67,2.598
1,69,2.612
2,67,1.027
3,68,3.849
2,68,0.93
1,70,2.924
3,69,3.101
2,69,2.145
1,71,3.091
3,70,3.408
2,70,2.521
1,72,3.358
1,73,3.615
