I,L,Q
0,1,64.0
0,2,52.0
0,1,52.0
0,2,9016.0
0,3,9016.0
0,2,9016.0
0,3,14478.0
1,4,0.0
0,3,14478.0
3,4,0.0
1,5,56.0
2,4,0.0
3,5,52.0
1,6,3270.0
2,5,27.0
3,6,1521.0
1,7,4844.0
2,6,2017.0
3,7,3009.0
1,8,7108.0
2,7,4231.0
3,8,5236.0
1,9,8028.0
2,8,6206.0
3,9,7465.0
1,10,9434.0
2,9,7827.0
3,10,8816.0
1,11,10661.0
2,10,10882.0
3,11,10799.0
1,12,11877.0
2,11,10123.0
3,12,11802.0
1,13,11877.0
2,12,8283.0
3,13,8621.0
1,14,11711.0
2,13,10363.0
3,14,8621.0
1,15,10715.0
2,14,10363.0
3,15,10043.0
1,16,13534.0
2,15,11406.0
3,16,12923.0
1,17,16260.0
3,17,14149.0
2,16,12395.0
1,18,16355.0
3,18,14149.0
2,17,7917.0
1,19,13132.0
3,19,11400.0
2,18,7917.0
1,20,14438.0
3,20,15464.0
2,19,11137.0
1,21,15777.0
3,21,16542.0
2,20,14095.0
1,22,17042.0
3,22,17255.0
2,21,13636.0
1,23,19409.0
3,23,17855.0
2,22,15847.0
1,24,20759.0
3,24,20512.0
2,23,17574.0
1,25,22052.0
3,25,20512.0
2,24,19512.0
1,26,22052.0
3,26,22259.0
2,25,20947.0
1,27,22865.0
3,27,23954.0
2,26,20947.0
1,28,24211.0
2,27,23731.0
3,28,25783.0
1,29,25339.0
3,29,28137.0
2,28,25729.0
1,30,27163.0
3,30,28954.0
2,29,28780.0
1,31,29068.0
3,31,30280.0
2,30,27872.0
1,32,31861.0
3,32,33146.0
2,31,29601.0
1,33,31861.0
3,33,33146.0
2,32,31242.0
1,34,32696.0
3,34,33153.0
2,33,31492.0
1,35,35142.0
3,35,35148.0
2,34,31492.0
1,36,36207.0
3,36,35695.0
2,35,33383.0
1,37,38080.0
3,37,37716.0
2,36,35391.0
1,38,42550.0
2,37,37614.0
3,38,40311.0
1,39,41098.0
3,39,40789.0
2,38,39920.0
1,40,43242.0
3,40,42423.0
2,39,39920.0
1,41,44956.0
3,41,42455.0
2,40,40190.0
1,42,43029.0
3,42,35644.0
2,41,39773.0
1,43,40205.0
3,43,42565.0
2,42,36316.0
1,44,43723.0
3,44,44384.0
2,43,41420.0
1,45,43723.0
3,45,44384.0
2,44,41808.0
1,46,46458.0
3,46,45371.0
2,45,42232.0
1,47,46903.0
3,47,47371.0
2,46,44745.0
1,48,47619.0
3,48,49947.0
2,47,44451.0
1,49,49084.0
3,49,51104.0
2,48,43840.0
1,50,51942.0
3,50,50526.0
2,49,45051.0
1,51,52810.0
3,51,51889.0
1,52,52923.0
2,50,46117.0
3,52,53535.0
1,53,54704.0
2,51,45332.0
3,53,55332.0
1,54,55207.0
2,52,45332.0
3,54,55332.0
1,55,55207.0
2,53,47285.0
3,55,56987.0
1,56,57163.0
2,54,49125.0
3,56,58594.0
2,55,47673.0
1,57,58723.0
3,57,59420.0
2,56,49840.0
1,58,58713.0
3,58,60431.0
1,59,67471.0
2,57,56349.0
3,59,65836.0
1,60,66244.0
2,58,57564.0
3,60,65836.0
3,61,66958.0
1,61,68552.0
2,59,59645.0
3,62,69037.0
1,62,69483.0
2,60,59645.0
1,63,69483.0
3,63,69107.0
2,61,34905.0
1,64,45994.0
3,64,49364.0
2,62,36572.0
1,65,47235.0
3,65,50352.0
2,63,37828.0
1,66,48076.0
3,66,52248.0
2,64,39920.0
1,67,53084.0
3,67,54040.0
2,65,41494.0
1,68,52334.0
3,68,56192.0
2,66,42839.0
1,69,54105.0
3,69,57491.0
2,67,43440.0
1,70,54519.0
3,70,58177.0
2,68,46402.0
1,71,56603.0
3,71,60556.0
2,69,42257.0
1,72,54882.0
3,72,57513.0
2,70,41425.0
1,73,54334.0
3,73,57513.0
2,71,44324.0
1,74,56536.0
3,74,56776.0
2,72,44324.0
1,75,56536.0
3,75,60196.0
2,73,44539.0
1,76,56252.0
3,76,60074.0
2,74,45410.0
1,77,58211.0
3,77,61640.0
2,75,46323.0
1,78,59279.0
3,78,61407.0
2,76,48776.0
1,79,61399.0
3,79,61407.0
2,77,50375.0
1,80,62391.0
3,80,65021.0
2,78,52848.0
1,81,62391.0
3,81,66254.0
2,79,54306.0
3,82,68765.0
1,82,64463.0
2,80,54306.0
1,83,66639.0
3,83,70895.0
2,81,56529.0
1,84,68522.0
3,84,72837.0
2,82,57762.0
3,85,74768.0
1,85,70783.0
2,83,58647.0
3,86,74768.0
1,86,71572.0
2,84,61299.0
3,87,76001.0
1,87,73999.0
2,85,61717.0
3,88,78524.0
1,88,75443.0
2,86,63572.0
1,89,75443.0
3,89,80366.0
2,87,65972.0
3,90,82121.0
1,90,79561.0
2,88,67626.0
3,91,82479.0
1,91,80504.0
2,89,67974.0
1,92,80504.0
3,92,87410.0
2,90,73548.0
1,93,87363.0
2,91,72472.0
1,94,84543.0
3,93,88204.0
2,92,73463.0
1,95,85434.0
