Packet ID,TIME,Size,sEth,eth.dst,sIP,IP.dst,IP.proto,port.src,port.dst,Class
3,1474812001,66,00:24:e4:11:18:a8,14:cc:20:51:33:ea,192.168.1.166,89.30.121.13,6,47747,1935,Withings Smart Baby Monitor
9,1474812002,156,30:8c:fb:2f:e4:b2,14:cc:20:51:33:ea,192.168.1.106,52.87.241.159,6,60757,443,Dropcam
14,1474812003,60,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,192.168.1.196,54.210.202.2,6,2173,443,Smart Things
15,1474812003,156,30:8c:fb:2f:e4:b2,14:cc:20:51:33:ea,192.168.1.106,52.87.241.159,6,60757,443,Dropcam
21,1474812004,156,30:8c:fb:2f:e4:b2,14:cc:20:51:33:ea,192.168.1.106,52.87.241.159,6,60757,443,Dropcam
25,1474812005,156,30:8c:fb:2f:e4:b2,14:cc:20:51:33:ea,192.168.1.106,52.87.241.159,6,60757,443,Dropcam
27,1474812006,156,30:8c:fb:2f:e4:b2,14:cc:20:51:33:ea,192.168.1.106,52.87.241.159,6,60757,443,Dropcam
34,1474812007,156,30:8c:fb:2f:e4:b2,14:cc:20:51:33:ea,192.168.1.106,52.87.241.159,6,60757,443,Dropcam
38,1474812008,156,30:8c:fb:2f:e4:b2,14:cc:20:51:33:ea,192.168.1.106,52.87.241.159,6,60757,443,Dropcam
40,1474812008,284,30:8c:fb:2f:e4:b2,14:cc:20:51:33:ea,192.168.1.106,52.87.241.159,6,60757,443,Dropcam
42,1474812008,191,44:65:0d:56:cc:d3,14:cc:20:51:33:ea,192.168.1.240,23.23.189.20,17,47532,33434,Amazon Echo
44,1474812009,43,70:ee:50:18:34:43,14:cc:20:51:33:ea,192.168.1.241,52.8.186.218,17,52956,4500,Netatmo Welcome
47,1474812009,66,00:24:e4:11:18:a8,14:cc:20:51:33:ea,192.168.1.166,89.30.121.13,6,47747,1935,Withings Smart Baby Monitor
51,1474812009,156,30:8c:fb:2f:e4:b2,14:cc:20:51:33:ea,192.168.1.106,52.87.241.159,6,60757,443,Dropcam
55,1474812010,188,00:16:6c:ab:6b:88,14:cc:20:51:33:ea,192.168.1.249,52.8.89.254,6,34846,5222,Samsung SmartCam
58,1474812010,66,00:16:6c:ab:6b:88,14:cc:20:51:33:ea,192.168.1.249,52.8.89.254,6,34846,5222,Samsung SmartCam
60,1474812010,156,30:8c:fb:2f:e4:b2,14:cc:20:51:33:ea,192.168.1.106,52.87.241.159,6,60757,443,Dropcam
62,1474812011,66,00:24:e4:11:18:a8,14:cc:20:51:33:ea,192.168.1.166,89.30.121.13,6,47747,1935,Withings Smart Baby Monitor
63,1474812011,156,30:8c:fb:2f:e4:b2,14:cc:20:51:33:ea,192.168.1.106,52.87.241.159,6,60757,443,Dropcam
66,1474812012,156,30:8c:fb:2f:e4:b2,14:cc:20:51:33:ea,192.168.1.106,52.87.241.159,6,60757,443,Dropcam
68,1474812013,60,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,192.168.1.196,54.210.202.2,6,2173,443,Smart Things
69,1474812013,156,30:8c:fb:2f:e4:b2,14:cc:20:51:33:ea,192.168.1.106,52.87.241.159,6,60757,443,Dropcam
72,1474812014,156,30:8c:fb:2f:e4:b2,14:cc:20:51:33:ea,192.168.1.106,52.87.241.159,6,60757,443,Dropcam
76,1474812015,156,30:8c:fb:2f:e4:b2,14:cc:20:51:33:ea,192.168.1.106,52.87.241.159,6,60757,443,Dropcam
78,1474812016,174,70:ee:50:18:34:43,14:cc:20:51:33:ea,192.168.1.241,52.8.186.218,17,52956,4500,Netatmo Welcome
80,1474812016,156,30:8c:fb:2f:e4:b2,14:cc:20:51:33:ea,192.168.1.106,52.87.241.159,6,60757,443,Dropcam
82,1474812018,156,30:8c:fb:2f:e4:b2,14:cc:20:51:33:ea,192.168.1.106,52.87.241.159,6,60757,443,Dropcam
85,1474812019,66,00:24:e4:11:18:a8,14:cc:20:51:33:ea,192.168.1.166,89.30.121.13,6,47747,1935,Withings Smart Baby Monitor
88,1474812019,72,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,192.168.1.196,192.168.1.1,17,4655,53,Smart Things
89,1474812019,554,14:cc:20:51:33:ea,d0:52:a8:00:67:5e,192.168.1.1,192.168.1.196,17,53,4655,TPLink Router Bridge LAN (Gateway)
92,1474812019,90,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,192.168.1.196,94.125.132.7,17,4654,123,Smart Things
93,1474812019,156,30:8c:fb:2f:e4:b2,14:cc:20:51:33:ea,192.168.1.106,52.87.241.159,6,60757,443,Dropcam
96,1474812020,156,30:8c:fb:2f:e4:b2,14:cc:20:51:33:ea,192.168.1.106,52.87.241.159,6,60757,443,Dropcam
98,1474812021,66,00:24:e4:11:18:a8,14:cc:20:51:33:ea,192.168.1.166,89.30.121.13,6,47747,1935,Withings Smart Baby Monitor
