s1,s2,s3,s4,class
70,66,66,66,Triby Speaker
66,66,66,66,TPLink Router Bridge LAN (Gateway)
60,139,60,60,Smart Things
68,66,66,68,TPLink Router Bridge LAN (Gateway)
54,54,123,54,TPLink Router Bridge LAN (Gateway)
43,174,43,43,TPLink Router Bridge LAN (Gateway)
156,156,156,156,Dropcam
66,66,66,66,TPLink Router Bridge LAN (Gateway)
66,66,66,66,Withings Smart Baby Monitor
160,54,160,54,TP-Link Day Night Cloud camera
201,201,201,201,Amazon Echo
123,123,123,123,TPLink Router Bridge LAN (Gateway)
421,493,489,469,Samsung SmartCam
74,66,262,66,Belkin wemo motion sensor
74,66,259,66,Belkin Wemo switch
74,66,264,66,Belkin wemo motion sensor
74,66,259,66,Belkin Wemo switch
143,143,143,143,Belkin wemo motion sensor
381,381,381,381,Samsung SmartCam
66,66,66,66,Samsung Galaxy Ta
74,66,252,66,Belkin wemo motion sensor
74,66,1236,66,Samsung SmartCam
350,350,350,350,Belkin Wemo switch
74,66,252,66,Belkin wemo motion sensor
74,66,249,66,Belkin wemo motion sensor
74,66,1236,66,Samsung SmartCam
74,66,326,1514,Belkin Wemo switch
74,66,249,66,Belkin wemo motion sensor
74,66,252,66,Belkin wemo motion sensor
74,66,326,1514,Belkin Wemo switch
74,66,252,66,Belkin wemo motion sensor
74,66,1236,66,Samsung SmartCam
74,66,1236,66,Samsung SmartCam
66,66,66,66,TPLink Router Bridge LAN (Gateway)
74,66,218,66,Belkin wemo motion sensor
74,66,304,66,Belkin Wemo switch
74,66,253,198,Belkin Wemo switch
74,66,253,206,Belkin Wemo switch
74,66,220,66,Belkin wemo motion sensor
74,66,66,259,Belkin wemo motion sensor
74,66,66,259,Belkin wemo motion sensor
74,66,249,66,Belkin wemo motion sensor
74,66,304,66,Belkin Wemo switch
74,66,326,1514,Belkin Wemo switch
74,66,249,66,Belkin wemo motion sensor
74,66,253,198,Belkin Wemo switch
74,66,253,291,Belkin Wemo switch
74,66,326,1514,Belkin Wemo switch
74,66,66,259,Belkin wemo motion sensor
74,66,66,259,Belkin wemo motion sensor
191,191,191,191,Amazon Echo
74,66,253,271,Belkin Wemo switch
74,66,66,259,Belkin wemo motion sensor
174,43,43,43,Netatmo Welcome
95,54,54,95,TPLink Router Bridge LAN (Gateway)
54,95,95,54,Amazon Echo
188,66,188,66,Samsung SmartCam
204,204,204,204,TPLink Router Bridge LAN (Gateway)
90,90,90,90,Amazon Echo
90,90,90,90,TPLink Router Bridge LAN (Gateway)
102,102,102,102,Samsung Galaxy Ta
66,78,66,66,TPLink Router Bridge LAN (Gateway)
140,140,140,140,HP Printer
66,66,66,66,TPLink Router Bridge LAN (Gateway)
105,54,105,54,Samsung Galaxy Ta
95,95,95,54,TPLink Router Bridge LAN (Gateway)
74,66,265,66,Withings Smart Baby Monitor
74,91,66,331,TPLink Router Bridge LAN (Gateway)
214,66,214,66,Belkin wemo motion sensor
146,146,146,146,TPLink Router Bridge LAN (Gateway)
251,257,251,257,PIX-STAR Photo-frame
74,66,66,66,Amazon Echo
74,66,66,66,Amazon Echo
74,66,66,66,Amazon Echo
74,66,252,66,Belkin wemo motion sensor
74,66,1236,66,Samsung SmartCam
74,66,249,66,Belkin wemo motion sensor
74,66,326,1514,Belkin Wemo switch
74,66,249,66,Belkin wemo motion sensor
74,66,326,1514,Belkin Wemo switch
74,66,252,66,Belkin wemo motion sensor
74,66,1236,66,Samsung SmartCam
74,66,249,66,Belkin wemo motion sensor
74,66,326,1514,Belkin Wemo switch
74,66,249,66,Belkin wemo motion sensor
74,66,326,1514,Belkin Wemo switch
75,75,75,75,Triby Speaker
91,91,91,91,TPLink Router Bridge LAN (Gateway)
590,350,350,350,Netatmo weather station
342,342,342,342,TPLink Router Bridge LAN (Gateway)
110,110,110,110,PIX-STAR Photo-frame
172,66,172,172,TP-Link Smart plug
135,135,135,78,TPLink Router Bridge LAN (Gateway)
66,66,66,66,Triby Speaker
66,66,66,66,TPLink Router Bridge LAN (Gateway)
214,66,214,66,Belkin Wemo switch
146,66,146,66,TPLink Router Bridge LAN (Gateway)
90,90,90,90,Amazon Echo
90,90,90,90,TPLink Router Bridge LAN (Gateway)
74,66,275,66,Samsung Galaxy Ta
74,66,203,66,TPLink Router Bridge LAN (Gateway)
