proto,src,dst,Class
6,40767,443,Dropcam
17,55872,123,Amazon Echo
6,47747,1935,Withings Smart Baby Monitor
6,40767,443,Dropcam
6,40767,443,Dropcam
17,42723,1900,Samsung SmartCam
17,42723,1900,Samsung SmartCam
17,42723,1900,Samsung SmartCam
17,42723,1900,Samsung SmartCam
17,42723,1900,Samsung SmartCam
17,42723,1900,Samsung SmartCam
17,42723,1900,Samsung SmartCam
6,40767,443,Dropcam
6,40767,443,Dropcam
6,47747,1935,Withings Smart Baby Monitor
6,40767,443,Dropcam
6,40767,443,Dropcam
17,49280,33434,Amazon Echo
6,35792,5222,Samsung SmartCam
6,35792,5222,Samsung SmartCam
6,2173,443,Smart Things
6,2173,443,Smart Things
6,40767,443,Dropcam
6,40767,443,Dropcam
6,40767,443,Dropcam
6,40767,443,Dropcam
6,40767,443,Dropcam
6,47747,1935,Withings Smart Baby Monitor
6,40767,443,Dropcam
6,40767,443,Dropcam
6,47747,1935,Withings Smart Baby Monitor
17,47532,33434,Amazon Echo
6,40767,443,Dropcam
6,40767,443,Dropcam
6,2173,443,Smart Things
6,40767,443,Dropcam
6,52424,443,Amazon Echo
6,52424,443,Amazon Echo
6,40767,443,Dropcam
6,40767,443,Dropcam
6,40767,443,Dropcam
6,40767,443,Dropcam
6,47747,1935,Withings Smart Baby Monitor
6,40767,443,Dropcam
6,40767,443,Dropcam
6,40767,443,Dropcam
6,47747,1935,Withings Smart Baby Monitor
6,40767,443,Dropcam
6,40767,443,Dropcam
6,40767,443,Dropcam
6,2173,443,Smart Things
6,40767,443,Dropcam
6,40767,443,Dropcam
6,40767,443,Dropcam
17,42723,1900,Samsung SmartCam
17,42723,1900,Samsung SmartCam
17,42723,1900,Samsung SmartCam
17,42723,1900,Samsung SmartCam
17,42723,1900,Samsung SmartCam
17,42723,1900,Samsung SmartCam
17,42723,1900,Samsung SmartCam
6,47747,1935,Withings Smart Baby Monitor
6,40767,443,Dropcam
17,49280,33434,Amazon Echo
6,40767,443,Dropcam
6,40767,443,Dropcam
6,47747,1935,Withings Smart Baby Monitor
6,40767,443,Dropcam
6,40767,443,Dropcam
6,35792,5222,Samsung SmartCam
6,40767,443,Dropcam
6,35792,5222,Samsung SmartCam
6,2173,443,Smart Things
6,40767,443,Dropcam
6,40767,443,Dropcam
6,40767,443,Dropcam
17,59788,123,Amazon Echo
17,47532,33434,Amazon Echo
6,40767,443,Dropcam
6,40767,443,Dropcam
6,47747,1935,Withings Smart Baby Monitor
6,40767,443,Dropcam
6,40767,443,Dropcam
6,52424,443,Amazon Echo
6,40767,443,Dropcam
6,47747,1935,Withings Smart Baby Monitor
6,40767,443,Dropcam
6,40767,443,Dropcam
6,52424,443,Amazon Echo
6,52424,443,Amazon Echo
6,2173,443,Smart Things
6,40767,443,Dropcam
6,40767,443,Dropcam
6,40767,443,Dropcam
6,40767,443,Dropcam
6,40767,443,Dropcam
6,47747,1935,Withings Smart Baby Monitor
17,55872,123,Amazon Echo
6,40767,443,Dropcam
6,47747,1935,Withings Smart Baby Monitor
6,40767,443,Dropcam
6,2173,443,Smart Things
6,40767,443,Dropcam
6,40767,443,Dropcam
6,40767,443,Dropcam
6,40767,443,Dropcam
17,49280,33434,Amazon Echo
6,40767,443,Dropcam
6,40767,443,Dropcam
17,42723,1900,Samsung SmartCam
17,42723,1900,Samsung SmartCam
17,42723,1900,Samsung SmartCam
17,42723,1900,Samsung SmartCam
17,42723,1900,Samsung SmartCam
17,42723,1900,Samsung SmartCam
17,42723,1900,Samsung SmartCam
6,40767,443,Dropcam
6,47747,1935,Withings Smart Baby Monitor
6,40767,443,Dropcam
6,40767,443,Dropcam
6,2173,443,Smart Things
6,47747,1935,Withings Smart Baby Monitor
6,2173,443,Smart Things
6,40767,443,Dropcam
6,35792,5222,Samsung SmartCam
6,35792,5222,Samsung SmartCam
17,1900,3222,Samsung SmartCam
6,40767,443,Dropcam
6,49152,4760,Samsung SmartCam
17,1900,3222,Samsung SmartCam
6,49152,4762,Samsung SmartCam
6,49152,4760,Samsung SmartCam
6,49152,4760,Samsung SmartCam
6,49152,4760,Samsung SmartCam
6,49152,4762,Samsung SmartCam
6,49152,4762,Samsung SmartCam
6,49152,4762,Samsung SmartCam
6,49152,4760,Samsung SmartCam
6,49152,4762,Samsung SmartCam
6,40767,443,Dropcam
6,40767,443,Dropcam
17,47532,33434,Amazon Echo
6,40767,443,Dropcam
6,40767,443,Dropcam
6,40767,443,Dropcam
6,40767,443,Dropcam
6,40767,443,Dropcam
6,47747,1935,Withings Smart Baby Monitor
6,40767,443,Dropcam
6,40767,443,Dropcam
6,2173,443,Smart Things
6,47747,1935,Withings Smart Baby Monitor
6,40767,443,Dropcam
6,52424,443,Amazon Echo
6,52424,443,Amazon Echo
6,40767,443,Dropcam
6,40767,443,Dropcam
6,40767,443,Dropcam
6,40767,443,Dropcam
6,40767,443,Dropcam
6,40767,443,Dropcam
6,47747,1935,Withings Smart Baby Monitor
6,40767,443,Dropcam
6,40767,443,Dropcam
6,2173,443,Smart Things
6,47747,1935,Withings Smart Baby Monitor
6,40767,443,Dropcam
17,49280,33434,Amazon Echo
6,40767,443,Dropcam
6,40767,443,Dropcam
6,40767,443,Dropcam
6,40767,443,Dropcam
6,40767,443,Dropcam
6,40767,443,Dropcam
6,40767,443,Dropcam
6,2173,443,Smart Things
6,2173,443,Smart Things
6,40767,443,Dropcam
17,42723,1900,Samsung SmartCam
17,42723,1900,Samsung SmartCam
17,42723,1900,Samsung SmartCam
17,42723,1900,Samsung SmartCam
17,42723,1900,Samsung SmartCam
17,42723,1900,Samsung SmartCam
17,42723,1900,Samsung SmartCam
6,40767,443,Dropcam
6,47747,1935,Withings Smart Baby Monitor
6,40767,443,Dropcam
17,47532,33434,Amazon Echo
6,40767,443,Dropcam
6,35792,5222,Samsung SmartCam
6,35792,5222,Samsung SmartCam
6,40767,443,Dropcam
6,47747,1935,Withings Smart Baby Monitor
6,40767,443,Dropcam
6,40767,443,Dropcam
6,40767,443,Dropcam
6,2173,443,Smart Things
6,40767,443,Dropcam
6,40767,443,Dropcam
17,57592,53,Amazon Echo
17,57592,53,Amazon Echo
6,56677,80,Amazon Echo
6,56677,80,Amazon Echo
6,56677,80,Amazon Echo
17,34251,53,Amazon Echo
