s1,s2,s3,class
156,156,66,Streaming
90,90,90,Controllers
70,66,66,Appliances
66,66,66,Sensors
421,493,489,Streaming
201,201,201,Controllers
188,66,188,Streaming
123,60,60,Controllers
191,191,191,Controllers
43,174,43,Streaming
95,54,54,Controllers
90,90,90,Controllers
214,66,214,Home Automation
160,54,160,Streaming
140,140,140,Appliances
143,143,143,Sensors
381,381,381,Streaming
74,66,252,Sensors
74,66,1236,Streaming
74,66,252,Sensors
74,66,1236,Streaming
74,66,66,Controllers
74,66,66,Controllers
74,66,66,Controllers
214,66,214,Sensors
74,66,248,Sensors
74,66,339,Sensors
75,75,75,Appliances
74,66,265,Sensors
172,66,172,Home Automation
74,66,252,Sensors
74,66,1236,Streaming
74,66,252,Sensors
74,66,1236,Streaming
66,66,66,Appliances
74,66,287,Sensors
90,90,90,Controllers
90,90,90,Controllers
74,66,408,Appliances
74,66,252,Sensors
74,66,1236,Streaming
74,66,252,Sensors
74,66,1236,Streaming
74,66,252,Sensors
74,66,1236,Streaming
74,66,252,Sensors
74,66,1236,Streaming
74,54,571,Controllers
74,89,74,Sensors
90,90,90,Controllers
74,66,66,Controllers
75,75,73,Streaming
74,66,66,Controllers
74,66,66,Controllers
74,66,252,Sensors
74,66,1236,Streaming
74,66,252,Sensors
74,66,1236,Streaming
74,66,252,Sensors
74,66,1236,Streaming
251,257,251,Appliances
74,54,371,Controllers
74,66,66,Controllers
74,66,66,Controllers
74,66,66,Controllers
74,66,252,Sensors
74,66,1236,Streaming
74,66,252,Sensors
74,66,1236,Streaming
74,66,459,Sensors
74,66,252,Sensors
74,66,1236,Streaming
74,66,252,Sensors
74,66,1236,Streaming
79,74,74,Streaming
74,66,265,Sensors
110,110,110,Appliances
74,66,66,Controllers
74,66,66,Controllers
74,66,66,Controllers
80,74,74,Streaming
74,66,281,Home Automation
70,70,70,Streaming
70,70,70,Streaming
70,70,70,Streaming
55,55,55,Streaming
74,66,408,Appliances
66,54,162,Streaming
74,66,252,Sensors
74,66,1236,Streaming
74,66,252,Sensors
74,66,1236,Streaming
78,78,78,Sensors
62,54,106,Sensors
350,350,350,Sensors
90,90,90,Controllers
74,89,74,Home Automation
74,66,66,Controllers
74,66,66,Controllers
75,75,76,Appliances
74,66,66,Controllers
74,66,252,Sensors
74,66,1236,Streaming
74,66,252,Sensors
74,66,252,Sensors
74,66,1236,Streaming
74,66,1236,Streaming
74,66,252,Sensors
74,66,1236,Streaming
74,54,571,Controllers
148,148,163,Controllers
97,66,97,Controllers
74,66,583,Controllers
74,66,252,Sensors
74,66,252,Sensors
74,66,1236,Streaming
74,66,1236,Streaming
74,66,265,Sensors
74,66,66,Controllers
74,66,66,Controllers
74,66,66,Controllers
74,66,252,Sensors
74,66,1236,Streaming
74,66,252,Sensors
74,66,1236,Streaming
74,66,252,Sensors
74,66,1236,Streaming
74,66,252,Sensors
74,66,1236,Streaming
74,66,408,Appliances
74,66,66,Controllers
74,66,66,Controllers
74,66,66,Controllers
74,66,252,Sensors
74,66,252,Sensors
74,66,1236,Streaming
74,66,1236,Streaming
74,66,252,Sensors
74,66,1236,Streaming
74,66,252,Sensors
74,66,1236,Streaming
74,66,252,Sensors
74,66,1236,Streaming
74,66,252,Sensors
74,66,1236,Streaming
74,66,265,Sensors
62,54,106,Sensors
74,66,252,Sensors
74,66,252,Sensors
74,66,1236,Streaming
74,66,1236,Streaming
75,75,80,Sensors
74,66,66,Controllers
74,66,66,Controllers
74,66,66,Controllers
90,90,90,Controllers
74,54,571,Controllers
74,66,387,Sensors
74,74,66,Sensors
74,66,252,Sensors
74,66,1236,Streaming
74,66,1236,Streaming
66,54,162,Streaming
74,66,252,Sensors
74,66,1236,Streaming
74,66,252,Sensors
74,66,252,Sensors
74,66,1236,Streaming
74,66,1236,Streaming
74,66,252,Sensors
74,66,1236,Streaming
74,66,66,Controllers
74,66,66,Controllers
74,66,66,Controllers
74,66,458,Sensors
62,54,106,Sensors
74,66,408,Appliances
74,66,252,Sensors
74,66,252,Sensors
74,66,1236,Streaming
74,66,1236,Streaming
79,73,73,Streaming
74,66,265,Sensors
74,66,252,Sensors
74,66,252,Sensors
74,66,1236,Streaming
74,66,1236,Streaming
74,66,66,Controllers
74,66,66,Controllers
74,66,66,Controllers
90,90,90,Streaming
90,90,90,Controllers
74,66,252,Sensors
74,66,1236,Streaming
74,66,252,Sensors
74,66,1236,Streaming
66,54,162,Streaming
74,66,357,Streaming
74,66,252,Sensors
74,66,1236,Streaming
74,66,252,Sensors
74,66,1236,Streaming
74,66,66,Controllers
74,66,66,Controllers
74,66,66,Controllers
74,54,571,Controllers
62,54,106,Sensors
74,66,252,Sensors
74,66,1236,Streaming
74,66,252,Sensors
74,66,1236,Streaming
74,66,265,Sensors
78,75,75,Controllers
74,66,408,Appliances
74,66,252,Sensors
74,66,252,Sensors
74,66,1236,Streaming
74,66,1236,Streaming
74,66,66,Controllers
75,75,75,Controllers
74,66,66,Controllers
74,66,66,Controllers
74,66,252,Sensors
74,66,1236,Streaming
74,66,252,Sensors
74,66,1236,Streaming
74,66,248,Sensors
74,66,339,Sensors
74,66,252,Sensors
74,66,1236,Streaming
74,66,252,Sensors
74,66,1236,Streaming
74,66,252,Sensors
74,66,1236,Streaming
74,66,252,Sensors
74,66,1236,Streaming
74,66,66,Controllers
74,66,66,Controllers
75,75,80,Appliances
74,66,66,Controllers
74,66,287,Sensors
90,90,90,Controllers
62,54,106,Sensors
74,66,252,Sensors
74,66,252,Sensors
74,66,1236,Streaming
74,66,1236,Streaming
74,66,265,Sensors
74,66,252,Sensors
74,66,1236,Streaming
74,66,252,Sensors
74,66,1236,Streaming
74,66,66,Controllers
74,66,66,Controllers
75,75,75,Controllers
74,66,66,Controllers
74,66,408,Appliances
74,54,571,Controllers
66,54,162,Streaming
74,66,252,Sensors
74,66,1236,Streaming
74,66,252,Sensors
74,66,1236,Streaming
74,66,252,Sensors
74,66,1236,Streaming
74,66,252,Sensors
74,66,1236,Streaming
74,66,66,Controllers
74,66,66,Controllers
75,75,86,Streaming
74,66,66,Controllers
74,74,66,Sensors
74,66,252,Sensors
74,66,1236,Streaming
74,66,1236,Streaming
74,66,458,Sensors
74,66,252,Sensors
74,66,1236,Streaming
74,66,252,Sensors
74,66,1236,Streaming
74,66,265,Sensors
62,54,106,Sensors
74,66,252,Sensors
74,66,1236,Streaming
74,66,252,Sensors
74,66,1236,Streaming
74,66,66,Controllers
74,66,66,Controllers
75,75,74,Streaming
74,66,66,Controllers
74,66,408,Appliances
74,66,252,Sensors
74,66,1236,Streaming
74,66,252,Sensors
74,66,252,Sensors
74,66,1236,Streaming
74,66,1236,Streaming
74,66,252,Sensors
74,66,1236,Streaming
90,90,90,Controllers
74,66,66,Controllers
74,66,66,Controllers
75,75,75,Home Automation
74,66,66,Controllers
74,66,252,Sensors
74,66,1236,Streaming
74,66,252,Sensors
74,66,1236,Streaming
74,54,571,Controllers
62,54,106,Sensors
74,66,252,Sensors
74,66,1236,Streaming
74,66,252,Sensors
74,66,1236,Streaming
74,66,265,Sensors
90,90,90,Controllers
74,74,66,Streaming
74,66,66,Controllers
74,66,66,Controllers
74,66,66,Controllers
74,66,252,Sensors
74,66,252,Sensors
74,66,1236,Streaming
74,66,1236,Streaming
74,66,281,Home Automation
74,54,371,Controllers
74,66,66,Controllers
74,66,66,Controllers
75,75,82,Appliances
74,66,66,Controllers
66,54,162,Streaming
74,66,252,Sensors
74,66,1236,Streaming
74,66,252,Sensors
74,66,1236,Streaming
74,66,408,Appliances
74,66,252,Sensors
74,66,1236,Streaming
74,66,252,Sensors
74,66,1236,Streaming
74,66,66,Controllers
74,66,66,Controllers
74,66,66,Controllers
74,66,265,Sensors
74,66,252,Sensors
74,66,1236,Streaming
74,66,252,Sensors
74,66,1236,Streaming
62,54,106,Sensors
74,66,583,Controllers
74,54,571,Controllers
74,66,387,Sensors
74,66,252,Sensors
74,66,1236,Streaming
74,66,252,Sensors
74,66,252,Sensors
74,66,1236,Streaming
74,66,1236,Streaming
74,66,252,Sensors
74,66,1236,Streaming
74,66,66,Controllers
74,66,66,Controllers
74,66,66,Controllers
66,54,162,Streaming
74,66,252,Sensors
74,66,252,Sensors
74,66,1236,Streaming
74,66,1236,Streaming
74,66,252,Sensors
74,66,1236,Streaming
74,66,252,Sensors
74,66,1236,Streaming
74,66,458,Sensors
74,66,408,Appliances
75,73,73,Streaming
74,66,66,Controllers
74,66,66,Controllers
74,66,66,Controllers
62,54,106,Sensors
74,66,265,Sensors
74,66,252,Sensors
74,66,252,Sensors
74,66,1236,Streaming
74,66,1236,Streaming
74,66,252,Sensors
74,66,252,Sensors
74,66,1236,Streaming
74,66,1236,Streaming
74,66,252,Sensors
74,66,1236,Streaming
74,66,252,Sensors
74,66,1236,Streaming
75,75,78,Appliances
74,66,66,Controllers
74,66,66,Controllers
74,66,66,Controllers
74,66,252,Sensors
74,66,1236,Streaming
74,66,252,Sensors
74,66,252,Sensors
74,66,1236,Streaming
74,66,1236,Streaming
74,66,252,Sensors
74,66,1236,Streaming
74,66,252,Sensors
74,66,252,Sensors
74,66,1236,Streaming
74,66,1236,Streaming
74,66,252,Sensors
74,66,1236,Streaming
74,66,252,Sensors
74,66,1236,Streaming
74,54,571,Controllers
74,66,248,Sensors
74,66,338,Sensors
74,66,287,Sensors
62,54,106,Sensors
74,66,66,Controllers
74,66,66,Controllers
74,66,66,Controllers
74,66,252,Sensors
74,66,1236,Streaming
74,66,252,Sensors
74,66,252,Sensors
74,66,1236,Streaming
74,66,1236,Streaming
74,66,252,Sensors
74,66,1236,Streaming
74,66,408,Appliances
74,66,265,Sensors
74,66,252,Sensors
74,66,252,Sensors
74,66,1236,Streaming
74,66,1236,Streaming
74,66,252,Sensors
74,66,1236,Streaming
74,66,252,Sensors
74,66,1236,Streaming
74,66,248,Sensors
74,66,339,Sensors
74,66,66,Controllers
74,66,66,Controllers
74,66,66,Controllers
74,66,287,Sensors
66,54,162,Streaming
90,90,90,Streaming
74,66,252,Sensors
74,66,252,Sensors
74,66,1236,Streaming
74,66,1236,Streaming
74,74,66,Sensors
74,66,252,Sensors
74,66,1236,Streaming
74,66,1236,Streaming
62,54,106,Sensors
74,66,66,Controllers
75,75,73,Streaming
74,66,66,Controllers
74,66,66,Controllers
74,66,252,Sensors
74,66,252,Sensors
